product_category_name,product_category_name_english
beleza_saude,health_beauty
informatica_acessorios,computers_accessories
automotivo,auto
cama_mesa_banho,bed_bath_table
moveis_decoracao,furniture_decor
esporte_lazer,sports_leisure
perfumaria,perfumery
utilidades_domesticas,housewares
telefonia,telephony
relogios_presentes,watches_gifts
alimentos_bebidas,food_drink
bebes,baby
papelaria,stationery
tablets_impressao_imagem,tablets_printing_image
brinquedos,toys
telefonia_fixa,fixed_telephony
ferramentas_jardim,garden_tools
fashion_bolsas_e_acessorios,fashion_bags_accessories
eletroportateis,small_appliances
fraldas_higiene,diapers_and_hygiene
construcao_ferramentas_construcao,construction_tools_construction
malas_acessorios,luggage_accessories
musica,music
pc_gamer,pc_gamer
construcao_ferramentas_jardim,construction_tools_garden
portateis_casa_forno_e_cafe,portable_kitchen_food_processors
fashion_masculino,fashion_male_clothing
pet_shop,pet_shop
moveis_escritorio,office_furniture
market_place,market_place
eletronicos,electronics
eletrodomesticos,home_appliances
fashion_feminino,fashion_female_clothing
arte,art
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
construcao_ferramentas_iluminacao,construction_tools_lights
industria_comercio_e_negocios,industry_commerce_and_business
moveis_sala,furniture_living_room
construcao_ferramentas_ferramentas,construction_tools_tools
agro_industria_e_comercio,agro_industry_and_commerce
fashion_roupa_masculina,fashion_male_clothing
livros_interesse_geral,books_general_interest
construcao_ferramentas_seguranca,construction_tools_safety
fashion_underwear_e_moda_praia,fashion_underwear_beach
fashion_esporte,fashion_sport
sinalizacao_e_seguranca,signaling_and_security
pcs,computers
livros_tecnicos,technical_books
instrumentos_musicais,musical_instruments
cameras_e_acessorios,cameras_accessories
dvds_blu_ray,dvds_blu_ray
audio,audio
climatizacao,air_conditioning
artes_e_artesanato,arts_and_craftmanship
alimentos,food
casa_conforto,home_comfort
construcao_ferramentas_construcao2,construction_tools_construction
fashion_roupa_feminina,fashion_female_clothing
casa_conforto_2,home_comfort_2
livros_importados,books_imported
drinks,drinks
la_cuisine,la_cuisine
flores,flowers
artigos_de_natal,christmas_supplies
fashion_roupa_infanto_juvenil,fashion_childrens_clothes
seguros_e_servicos,insurance_and_services
cds_dvds_musicais,cds_dvds_musicals
unknown,unknown
